ident,type,name,latitude_deg,longitude_deg,municipality,iso_region,icao_code,gps_code
AGY,small_airport,Argyle Downs Airport,-16.508604,128.922485,Argyle Downs,AU-WA,,
ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,Angus Downs Station,AU-NT,,YADN
AU-0002,small_airport,Dwellingup Airstrip,-32.6926994324,116.074996948,Dwellingup,AU-WA,,
AU-0003,small_airport,Tjukayirla Roadhouse Airstrip,-27.155199,124.584999,Cosmo Newbery,AU-WA,,
AU-0004,small_airport,Langley Park Airstrip,-31.9612293243,115.867866516,Perth,AU-WA,,
AU-0005,small_airport,Myrup fly in estate Airport,-33.789272,121.956847,,AU-WA,,YMYU
AU-0006,small_airport,Harrismith Airport,-32.9418449402,117.865447998,Harrismith,AU-WA,,
AU-0007,small_airport,Kulin Airport,-32.6721992493,118.168998718,,AU-WA,,
AU-0008,heliport,Althorpe Lighthouse,-35.371536,136.86033,Althorpe Islands,AU-SA,,
AU-0009,small_airport,Pinjarra North Airstrip,-32.5803985596,115.885002136,Pinjarra,AU-WA,,
AU-0010,small_airport,Pinjarra Skydiving Airstrip,-32.66652,115.881745,Pinjarra,AU-WA,,
AU-0011,small_airport,Wheeler Field,-32.7874909969,115.789482594,,AU-WA,,
AU-0012,small_airport,Lake Clifton Airstrip,-32.7909355164,115.670883179,Lake Clifton,AU-WA,,
AU-0013,small_airport,Between Lakes Private Airstrip,-32.849998474121094,115.63999938964844,,AU-WA,,
AU-0014,small_airport,Abrolhos East Wallabi Island Airport,-28.43785,113.735583333,Abrolhos,AU-WA,,
AU-0015,small_airport,Bremer Bay Airport,-34.380561828599994,119.331947327,Bremer Bay,AU-WA,,
AU-0016,small_airport,Middlebrook Station Scone Airstrip,-31.9711685181,150.811477661,Middlebrook Station,AU-NSW,,
AU-0017,small_airport,Lily Dutch Windmill Airstrip,-34.2250022888,118.216148376,,AU-WA,,
AU-0018,small_airport,Preston Field - Blair Howe,-33.022077,115.702204,,AU-WA,,YPFL
AU-0019,small_airport,Avoca Airport,-41.781700134277344,147.7194061279297,Avoca,AU-TAS,,
AU-0020,small_airport,Kukerin,-33.17490005493164,118.08499908447266,Kukerin WA,AU-WA,,
AU-0021,small_airport,Karijini National Park,-22.487101,118.468002,,AU-WA,,
AU-0022,small_airport,Cardabia Homestead Airstrip,-23.106024,113.805229,Lyndon,AU-WA,,
AU-0023,small_airport,Woodbury Airfield,-42.162421,147.45011,Woodbury,AU-TAS,,YWOD
AU-0025,small_airport,Northcliffe Airstrip,-34.660026,116.140803,Boorara Brook,AU-WA,,
AU-0026,small_airport,Yuin Station,-27.983333587646484,116.03333282470703,,AU-WA,,
AU-0027,small_airport,Boobyalla Airfield,-40.89821,147.86132,Dorset,AU-TAS,,
